Month,Thousands of Passengers,after_normalization
Jan-49,112,0.184818482
Feb-49,118,0.194719472
Mar-49,132,0.217821782
Apr-49,129,0.212871287
May-49,121,0.199669967
Jun-49,135,0.222772277
Jul-49,148,0.244224422
Aug-49,148,0.244224422
Sep-49,136,0.224422442
Oct-49,119,0.196369637
Nov-49,104,0.171617162
Dec-49,118,0.194719472
Jan-50,115,0.189768977
Feb-50,126,0.207920792
Mar-50,141,0.232673267
Apr-50,135,0.222772277
May-50,125,0.206270627
Jun-50,149,0.245874587
Jul-50,170,0.280528053
Aug-50,170,0.280528053
Sep-50,158,0.260726073
Oct-50,133,0.219471947
Nov-50,114,0.188118812
Dec-50,140,0.231023102
Jan-51,145,0.239273927
Feb-51,150,0.247524752
Mar-51,178,0.293729373
Apr-51,163,0.268976898
May-51,172,0.283828383
Jun-51,178,0.293729373
Jul-51,199,0.328382838
Aug-51,199,0.328382838
Sep-51,184,0.303630363
Oct-51,162,0.267326733
Nov-51,146,0.240924092
Dec-51,166,0.273927393
Jan-52,171,0.282178218
Feb-52,180,0.297029703
Mar-52,193,0.318481848
Apr-52,181,0.298679868
May-52,183,0.301980198
Jun-52,218,0.359735974
Jul-52,230,0.379537954
Aug-52,242,0.399339934
Sep-52,209,0.344884488
Oct-52,191,0.315181518
Nov-52,172,0.283828383
Dec-52,194,0.320132013
Jan-53,196,0.323432343
Feb-53,196,0.323432343
Mar-53,236,0.389438944
Apr-53,235,0.387788779
May-53,229,0.377887789
Jun-53,243,0.400990099
Jul-53,264,0.435643564
Aug-53,272,0.448844884
Sep-53,237,0.391089109
Oct-53,211,0.348184818
Nov-53,180,0.297029703
Dec-53,201,0.331683168
Jan-54,204,0.336633663
Feb-54,188,0.310231023
Mar-54,235,0.387788779
Apr-54,227,0.374587459
May-54,234,0.386138614
Jun-54,264,0.435643564
Jul-54,302,0.498349835
Aug-54,293,0.48349835
Sep-54,259,0.427392739
Oct-54,229,0.377887789
Nov-54,203,0.334983498
Dec-54,229,0.377887789
Jan-55,242,0.399339934
Feb-55,233,0.384488449
Mar-55,267,0.440594059
Apr-55,269,0.443894389
May-55,270,0.445544554
Jun-55,315,0.51980198
Jul-55,364,0.600660066
Aug-55,347,0.572607261
Sep-55,312,0.514851485
Oct-55,274,0.452145215
Nov-55,237,0.391089109
Dec-55,278,0.458745875
Jan-56,284,0.468646865
Feb-56,277,0.45709571
Mar-56,317,0.52310231
Apr-56,313,0.51650165
May-56,318,0.524752475
Jun-56,374,0.617161716
Jul-56,413,0.681518152
Aug-56,405,0.668316832
Sep-56,355,0.585808581
Oct-56,306,0.504950495
Nov-56,271,0.447194719
Dec-56,306,0.504950495
Jan-57,315,0.51980198
Feb-57,301,0.49669967
Mar-57,356,0.587458746
Apr-57,348,0.574257426
May-57,355,0.585808581
Jun-57,422,0.696369637
Jul-57,465,0.767326733
Aug-57,467,0.770627063
Sep-57,404,0.666666667
Oct-57,347,0.572607261
Nov-57,305,0.50330033
Dec-57,336,0.554455446
Jan-58,340,0.561056106
Feb-58,318,0.524752475
Mar-58,362,0.597359736
Apr-58,348,0.574257426
May-58,363,0.599009901
Jun-58,435,0.717821782
Jul-58,491,0.810231023
Aug-58,505,0.833333333
Sep-58,404,0.666666667
Oct-58,359,0.592409241
Nov-58,310,0.511551155
Dec-58,337,0.556105611
Jan-59,360,0.594059406
Feb-59,342,0.564356436
Mar-59,406,0.669966997
Apr-59,396,0.653465347
May-59,420,0.693069307
Jun-59,472,0.778877888
Jul-59,548,0.904290429
Aug-59,559,0.922442244
Sep-59,463,0.764026403
Oct-59,407,0.671617162
Nov-59,362,0.597359736
Dec-59,405,0.668316832
Jan-60,417,0.688118812
Feb-60,391,0.645214521
Mar-60,419,0.691419142
Apr-60,461,0.760726073
May-60,472,0.778877888
Jun-60,535,0.882838284
Jul-60,622,1.02640264
Aug-60,606,1
Sep-60,508,0.838283828
Oct-60,461,0.760726073
Nov-60,390,0.643564356
Dec-60,432,0.712871287
